recipeId,itemName,category,isSellable,ingredientCount,totalCost,partial,foodCostOverride,missingLines,missingNames,lines
cmo71zxzp0047ibu9eq2ols1m,Orange Fanta (20 oz cup),Drinks,true,3,0.30732357954545453,false,,0,[],"[{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false},{""kind"":""ingredient"",""name"":""syrup orange fanta"",""qty"":1,""unit"":""fl oz"",""unitCost"":26.089999999999996,""costUnit"":""gal"",""lineCost"":0.20382812499999997,""missing"":false}]"
cmo71zygt004bibu9ob0qy3cd,Hi-C (20 oz cup),Drinks,true,3,0.30732357954545453,false,,0,[],"[{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false},{""kind"":""ingredient"",""name"":""syrup hi-c fruit punch flashin"",""qty"":1,""unit"":""fl oz"",""unitCost"":26.09,""costUnit"":""gal"",""lineCost"":0.203828125,""missing"":false}]"
cmo72eoe9006s6ku9i77z95jd,Signature Slider Fries & Drink Combo,Combos,true,5,2.73808746385925,false,,0,[],"[{""kind"":""component"",""name"":""Double Slider"",""qty"":1,""unit"":""serving"",""unitCost"":1.3759038612100913,""lineCost"":1.3759038612100913,""missing"":false},{""kind"":""component"",""name"":""Straight Cut Fries"",""qty"":1,""unit"":""serving"",""unitCost"":0.7380837037037037,""lineCost"":0.7380837037037037,""missing"":false},{""kind"":""component"",""name"":""Extra Chris N Eddy's Sauce"",""qty"":1,""unit"":""serving"",""unitCost"":0.6049444444,""lineCost"":0.6049444444,""missing"":false},{""kind"":""ingredient"",""name"":""chrsned bag plas tshirt logo ptsbchrisneddy"",""qty"":1,""unit"":""each"",""unitCost"":0.005865454545454545,""costUnit"":""each"",""lineCost"":0.005865454545454545,""missing"":false},{""kind"":""ingredient"",""name"":""napkin dispenser 2-ply 8.5 x 6.5 white"",""qty"":2,""unit"":""each"",""unitCost"":0.006645,""costUnit"":""each"",""lineCost"":0.01329,""missing"":false}]"
cmo73d4m70000c2u9k1ydmbdm,Single Patty,A La Carte,true,1,0.4050005417161568,false,,0,[],"[{""kind"":""ingredient"",""name"":""ground beef fine grnd 73/27 creekstone"",""qty"":1.5,""unit"":""oz"",""unitCost"":4.3200057783056725,""costUnit"":""lb"",""lineCost"":0.4050005417161568,""missing"":false}]"
cmo73d4zp0003c2u9nxdnyg1f,Mexican Sprite 500ml,Drinks,true,1,1.7920833333333333,false,,0,[],"[{""kind"":""ingredient"",""name"":""soda sprite mexican glass crv inc"",""qty"":500,""unit"":""ml"",""unitCost"":0.0035841666666666665,""costUnit"":""ml"",""lineCost"":1.7920833333333333,""missing"":false}]"
cmo73d5cg0006c2u9svwqh2no,2 Grilled Cheeses and Fries,Combos,true,5,2.5669341582047136,false,,0,[],"[{""kind"":""component"",""name"":""Grilled Cheese"",""qty"":2,""unit"":""serving"",""unitCost"":0.5990527777777778,""lineCost"":1.1981055555555555,""missing"":false},{""kind"":""component"",""name"":""Straight Cut Fries"",""qty"":1,""unit"":""serving"",""unitCost"":0.7380837037037037,""lineCost"":0.7380837037037037,""missing"":false},{""kind"":""component"",""name"":""Extra Chris N Eddy's Sauce"",""qty"":1,""unit"":""serving"",""unitCost"":0.6049444444,""lineCost"":0.6049444444,""missing"":false},{""kind"":""ingredient"",""name"":""chrsned bag plas tshirt logo ptsbchrisneddy"",""qty"":1,""unit"":""each"",""unitCost"":0.005865454545454545,""costUnit"":""each"",""lineCost"":0.005865454545454545,""missing"":false},{""kind"":""ingredient"",""name"":""napkin dispenser 2-ply 8.5 x 6.5 white"",""qty"":3,""unit"":""each"",""unitCost"":0.006645,""costUnit"":""each"",""lineCost"":0.019935,""missing"":false}]"
cmo71zytd004fibu94nttj52v,Mexican Coke 500ml,Drinks,true,1,1.9404166666666667,false,,0,[],"[{""kind"":""ingredient"",""name"":""soda coke mexican glass"",""qty"":500,""unit"":""ml"",""unitCost"":0.0038808333333333334,""costUnit"":""ml"",""lineCost"":1.9404166666666667,""missing"":false}]"
cmo71zz1m004hibu94urhvn8h,Mexican Fanta 500ml,Drinks,true,1,1.7920833333333333,false,,0,[],"[{""kind"":""ingredient"",""name"":""soda orange fanta mexican glass"",""qty"":500,""unit"":""ml"",""unitCost"":0.0035841666666666665,""costUnit"":""ml"",""lineCost"":1.7920833333333333,""missing"":false}]"
cmo71zza2004jibu9xqu33lng,Water,Drinks,true,1,0.27942857142857136,false,,0,[],"[{""kind"":""ingredient"",""name"":""water crystal geyser spring"",""qty"":16.9,""unit"":""oz"",""unitCost"":0.016534234995773455,""costUnit"":""oz"",""lineCost"":0.27942857142857136,""missing"":false}]"
cmo74ec6j01yu0fu9iqnx092r,Combo 0,Combos,true,1,2.5669341582047136,false,,0,[],"[{""kind"":""component"",""name"":""2 Grilled Cheeses and Fries"",""qty"":1,""unit"":""serving"",""unitCost"":2.5669341582047136,""lineCost"":2.5669341582047136,""missing"":false}]"
cmo71zzma004libu9ytmb5u9u,Vanilla Shake (20 oz cup),Shakes,true,3,1.6342954545454547,false,,0,[],"[{""kind"":""ingredient"",""name"":""whole class ice cream mix soft serve vanilla 5%"",""qty"":15.36,""unit"":""oz"",""unitCost"":0.09966145833333334,""costUnit"":""oz"",""lineCost"":1.5308000000000002,""missing"":false},{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false}]"
cmo720057004pibu9u7tpqjrx,Chocolate Shake (20 oz cup),Shakes,true,4,1.7951548295454547,false,,0,[],"[{""kind"":""ingredient"",""name"":""whole class ice cream mix soft serve vanilla 5%"",""qty"":15.36,""unit"":""oz"",""unitCost"":0.09966145833333334,""costUnit"":""oz"",""lineCost"":1.5308000000000002,""missing"":false},{""kind"":""ingredient"",""name"":""lyon medium syrup chocolate free flow"",""qty"":1,""unit"":""fl oz"",""unitCost"":20.59,""costUnit"":""gal"",""lineCost"":0.160859375,""missing"":false},{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false}]"
cmo7200qc004uibu92v6gidlr,Strawberry Shake (20 oz cup),Shakes,true,4,1.8055063920454546,false,,0,[],"[{""kind"":""ingredient"",""name"":""whole class ice cream mix soft serve vanilla 5%"",""qty"":15.36,""unit"":""oz"",""unitCost"":0.09966145833333334,""costUnit"":""oz"",""lineCost"":1.5308000000000002,""missing"":false},{""kind"":""ingredient"",""name"":""lyon medium syrup strawberry rtu"",""qty"":1,""unit"":""fl oz"",""unitCost"":21.915,""costUnit"":""gal"",""lineCost"":0.1712109375,""missing"":false},{""kind"":""ingredient"",""name"":""greeno cup pet 20 oz c&d pet"",""qty"":1,""unit"":""each"",""unitCost"":0.097,""costUnit"":""each"",""lineCost"":0.097,""missing"":false},{""kind"":""ingredient"",""name"":""greeno lid flat with hole 20 oz pe pet"",""qty"":1,""unit"":""each"",""unitCost"":0.006495454545454546,""costUnit"":""each"",""lineCost"":0.006495454545454546,""missing"":false}]"
cmo72em6p00646ku9vs2nrz7o,Side of Yellow Chilies,On The Side,true,3,0.229632,false,,0,[],"[{""kind"":""ingredient"",""name"":""peppers whole yellow"",""qty"":2.5,""unit"":""each"",""unitCost"":0.0814,""costUnit"":""each"",""lineCost"":0.20350000000000001,""missing"":false},{""kind"":""ingredient"",""name"":""cup portion plastic 2 oz clear"",""qty"":1,""unit"":""each"",""unitCost"":0.011132,""costUnit"":""each"",""lineCost"":0.011132,""missing"":false},{""kind"":""ingredient"",""name"":""lid portion plastic 1.5, 2, 2.5 oz"",""qty"":1,""unit"":""each"",""unitCost"":0.015,""costUnit"":""each"",""lineCost"":0.015,""missing"":false}]"
cmo72en9o006e6ku9tawnkg3q,The Family Box,Combos,true,1,8.241272650138683,false,,0,[],"[{""kind"":""component"",""name"":""2 Slider Combo"",""qty"":2,""unit"":""serving"",""unitCost"":4.120636325069341,""lineCost"":8.241272650138683,""missing"":false}]"
